Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
July 31 2022,Stevens,WA,Passenger,73,54,127,29979,30106,0.42
December 31 2023,Snohomish,WA,Truck,281,0,281,120493,120774,0.23
May 31 2022,Cowlitz,WA,Passenger,322,175,497,70610,71107,0.7
March 31 2023,Skamania,WA,Truck,1,0,1,3855,3856,0.03
September 30 2023,Grays Harbor,WA,Passenger,339,206,545,48089,48634,1.12
February 28 2023,Mason,WA,Truck,9,0,9,20845,20854,0.04
April 30 2022,Cowlitz,WA,Passenger,314,172,486,70823,71309,0.68
October 31 2023,Clark,WA,Truck,122,0,122,81033,81155,0.15
May 31 2023,Lincoln,WA,Truck,0,0,0,4843,4843,0
September 30 2023,Grant,WA,Passenger,328,149,477,67293,67770,0.7
September 30 2022,Yakima,WA,Truck,3,0,3,61345,61348,0
March 31 2022,Adams,WA,Passenger,16,11,27,12957,12984,0.21
October 31 2022,Adams,WA,Passenger,22,12,34,12999,13033,0.26
January 31 2023,Ferry,WA,Passenger,24,4,28,4334,4362,0.64
January 31 2022,Okanogan,WA,Truck,0,0,0,16674,16674,0
March 31 2023,Whatcom,WA,Passenger,2282,837,3119,147517,150636,2.07
March 31 2022,Okanogan,WA,Truck,0,0,0,16677,16677,0
July 31 2023,Skagit,WA,Truck,23,0,23,31824,31847,0.07
May 31 2023,Pend Oreille,WA,Truck,0,0,0,5614,5614,0
February 28 2023,Snohomish,WA,Passenger,10916,2836,13752,529009,542761,2.53
March 31 2022,Skamania,WA,Passenger,65,45,110,8250,8360,1.32
February 28 2022,Douglas,WA,Passenger,122,55,177,28542,28719,0.62
February 28 2023,Wahkiakum,WA,Passenger,25,15,40,3043,3083,1.3
June 30 2022,Spokane,WA,Passenger,1597,845,2442,324654,327096,0.75
January 31 2022,Jefferson,WA,Truck,0,0,0,9569,9569,0
November 30 2022,Thurston,WA,Passenger,2549,1112,3661,191824,195485,1.87
May 31 2023,Snohomish,WA,Truck,161,0,161,121519,121680,0.13
December 31 2022,Okanogan,WA,Passenger,96,52,148,26137,26285,0.56
March 31 2022,Stevens,WA,Passenger,61,50,111,30021,30132,0.37
September 30 2023,Pend Oreille,WA,Truck,0,0,0,5598,5598,0
October 31 2022,Clallam,WA,Passenger,457,256,713,49386,50099,1.42
October 31 2023,Yakima,WA,Passenger,597,285,882,166214,167096,0.53
July 31 2023,Cowlitz,WA,Passenger,486,223,709,69765,70474,1.01
April 30 2022,Walla Walla,WA,Truck,0,0,0,14011,14011,0
October 31 2022,Wahkiakum,WA,Passenger,24,12,36,3063,3099,1.16
November 30 2022,Columbia,WA,Passenger,8,1,9,2426,2435,0.37
March 31 2022,Clallam,WA,Passenger,403,240,643,49930,50573,1.27
April 30 2023,Snohomish,WA,Truck,144,0,144,121644,121788,0.12
April 30 2023,Adams,WA,Passenger,23,12,35,13021,13056,0.27
April 30 2022,Grays Harbor,WA,Truck,0,0,0,21331,21331,0
January 31 2023,Pacific,WA,Truck,2,0,2,7807,7809,0.03
June 30 2022,Snohomish,WA,Passenger,8355,2524,10879,532238,543117,2
October 31 2023,Whitman,WA,Passenger,184,93,277,21933,22210,1.25
March 31 2023,Yakima,WA,Truck,9,0,9,61121,61130,0.01
February 28 2022,Pacific,WA,Truck,0,0,0,7996,7996,0
October 31 2022,Chelan,WA,Passenger,507,139,646,54108,54754,1.18
October 31 2022,Thurston,WA,Passenger,2464,1106,3570,191988,195558,1.83
June 30 2022,Grant,WA,Truck,0,0,0,27999,27999,0
August 31 2022,Skagit,WA,Passenger,855,348,1203,89632,90835,1.32
January 31 2022,Clark,WA,Passenger,3541,1568,5109,319080,324189,1.58
December 31 2022,Garfield,WA,Truck,0,0,0,971,971,0
February 28 2023,Pierce,WA,Passenger,6578,2575,9153,534439,543592,1.68
December 31 2023,San Juan,WA,Passenger,686,196,882,13669,14551,6.06
March 31 2023,San Juan,WA,Truck,10,0,10,5911,5921,0.17
April 30 2022,Mason,WA,Truck,0,0,0,21093,21093,0
February 28 2023,Jefferson,WA,Truck,9,0,9,9327,9336,0.1
December 31 2023,Grays Harbor,WA,Passenger,375,222,597,48015,48612,1.23
January 31 2023,Stevens,WA,Truck,2,0,2,18709,18711,0.01
December 31 2022,Jefferson,WA,Passenger,482,231,713,24265,24978,2.85
April 30 2023,Stevens,WA,Truck,1,0,1,18715,18716,0.01
July 31 2022,San Juan,WA,Passenger,521,160,681,14004,14685,4.64
July 31 2022,Kittitas,WA,Truck,1,0,1,14610,14611,0.01
November 30 2023,Pierce,WA,Passenger,9173,3128,12301,525995,538296,2.29
July 31 2022,Ferry,WA,Passenger,21,4,25,4370,4395,0.57
September 30 2023,Chelan,WA,Truck,34,0,34,23182,23216,0.15
July 31 2023,Island,WA,Truck,32,0,32,20955,20987,0.15
May 31 2022,Lincoln,WA,Passenger,8,18,26,7681,7707,0.34
July 31 2023,Pierce,WA,Passenger,7873,2833,10706,528373,539079,1.99
July 31 2022,Skamania,WA,Passenger,76,47,123,8133,8256,1.49
August 31 2023,Franklin,WA,Passenger,357,149,506,62022,62528,0.81
January 31 2022,Grant,WA,Passenger,140,100,240,66751,66991,0.36
May 31 2022,Benton,WA,Passenger,727,454,1181,135065,136246,0.87
November 30 2022,Chelan,WA,Passenger,524,141,665,54183,54848,1.21
August 31 2022,Mason,WA,Passenger,328,174,502,46933,47435,1.06
June 30 2022,Okanogan,WA,Passenger,81,50,131,26348,26479,0.49
